"Species","Latitude","Longitude","species","decimalLatitude","decimalLongitude"
NA,NA,NA,"Microphoxus uroserratus",-21.6090413888889,-40.6359191666667
NA,NA,NA,"Graptacme perlonga",-21.381991,-40.258744
NA,NA,NA,"Muriceopsis metaclados",-21.51666667,-40.3
NA,NA,NA,"Puelche orensanzi",-21.6081394444444,-40.6166036111111
NA,NA,NA,"Metaxia excelsa",-21.381833,-40.330133
NA,NA,NA,"Oenone fulgida",-21.5,-40.3
NA,NA,NA,"Ophioderma appressum",-21.5,-40.3
NA,NA,NA,"Trichiurus lepturus",-21.616188,-41.016581
NA,NA,NA,"Codium decorticatum",-21.5,-40.3
NA,NA,NA,"Retilaskeya emersonii",-21.5,-40.3
NA,NA,NA,"Strobiligera inaudita",-21.425375,-40.528442
NA,NA,NA,"Paracalanus nanus",-21.404,-40.23433
NA,NA,NA,"Gadila dominguensis",-21.381833,-40.330133
NA,NA,NA,"Euterpina acutifrons",-21.3875,-40.7444444444
NA,NA,NA,"Natatolana gracilis",-21.6090413888889,-40.6359191666667
NA,NA,NA,"Stylatula brasiliensis",-21.37111111,-40.53305556
NA,NA,NA,"Hastula cinerea",-21.352848,-40.962316
NA,NA,NA,"Krohnitta pacifica",-21.3875,-40.7444444444
NA,NA,NA,"Symphurus plagiusa",-21.616188,-41.016581
NA,NA,NA,"Paradialychone americana",-21.3887064,-40.4235867
NA,NA,NA,"Ampelisca brevisimulata",-21.6045269444444,-40.6166036111111
NA,NA,NA,"Micropogonias furnieri",-21.45,-40.6667
NA,NA,NA,"Chione cancellata",-21.517,-40.3
NA,NA,NA,"Tiburonella viscana",-21.6090413888889,-40.6359191666667
NA,NA,NA,"Haliotis pourtalesii",-21.381833,-40.330133
NA,NA,NA,"Ampelisca brevisimulata",-21.4121472222222,-40.7276
NA,NA,NA,"Rocinela signata",-21.6090425,-40.6214325
NA,NA,NA,"Phtisica marina",-21.4121472222222,-40.3377027777778
NA,NA,NA,"Peyssonnelia boergesenii",-21.5,-40.3
NA,NA,NA,"Oithona similis",-21.404,-40.23433
NA,NA,NA,"Centropomus undecimalis",-21.616188,-41.016581
NA,NA,NA,"Coronaurothoe rotunda",-21.52,-40.960425
NA,NA,NA,"Argopecten noronhensis",-21.5,-40.3
NA,NA,NA,"Agetus limbatus",-21.404,-40.23433
NA,NA,NA,"Paradialychone americana",-21.5689342,-40.4274681
NA,NA,NA,"Ampelisca brevisimulata",-21.6090380555556,-40.5779722222222
NA,NA,NA,"Macrodon ancylodon",-21.5667,-41
NA,NA,NA,"Selene vomer",-21.616188,-41.016581
NA,NA,NA,"Ampelisca brevisimulata",-21.6090425,-40.6214325
NA,NA,NA,"Caranx latus",-21.61917,-41.01305
NA,NA,NA,"Eulimastoma exiguum",-21.39269444,-40.26203889
NA,NA,NA,"Eugerres brasilianus",-21.616188,-41.016581
NA,NA,NA,"Codium taylorii",-21.5,-40.3
NA,NA,NA,"Microphoxus breviramus",-21.6099397222222,-40.6166036111111
NA,NA,NA,"Probopyrus palaemoni",-21.6179,-41.0169
NA,NA,NA,"Nisiturris fluminensis",-21.381833,-40.330133
NA,NA,NA,"Neoterebra leptapsis",-21.381991,-40.258744
NA,NA,NA,"Batea intermedia",-21.3818861111111,-40.923375
NA,NA,NA,"Ketosia riosi",-21.60888889,-40.655
NA,NA,NA,"Phoxocephalopsis zimmeri",-21.5909797222222,-40.6166036111111
NA,NA,NA,"Pellona harroweri",-21.616188,-41.016581
NA,NA,NA,"Clibanarius antillensis",-21.311729,-40.958184
NA,NA,NA,"Microphoxus uroserratus",-21.6090380555556,-40.655235
NA,NA,NA,"Cylichna discus",-21.383102,-40.254305
NA,NA,NA,"Oithona setigera",-21.404,-40.23433
NA,NA,NA,"Paracalanus quasimodo",-21.38583,-40.74
NA,NA,NA,"Gobionellus oceanicus",-21.616188,-41.016581
NA,NA,NA,"Puelche orensanzi",-21.6090425,-40.6214325
NA,NA,NA,"Sotalia fluviatilis",-21.616667,-41
NA,NA,NA,"Parviturbo weberi",-21.381833,-40.330133
NA,NA,NA,"Aiolochroia crassa",-21.5,-40.29999924
NA,NA,NA,"Achirus lineatus",-21.616188,-41.016581
NA,NA,NA,"Laguncularia racemosa",-21.3091,-40.9594
NA,NA,NA,"Cadulus nerta",-21.383077,-40.254641
NA,NA,NA,"Paraleiopus macrochelis",-21.6090380555556,-40.5779722222222
NA,NA,NA,"Turbonilla fasciata",-21.392694,-40.262038
NA,NA,NA,"Cyclaspis striata",-21.3558722222222,-40.7076722222222
NA,NA,NA,"Aesopus stearnsii",-21.588333,-40.522777
NA,NA,NA,"Mugil curema",-21.616188,-41.016581
NA,NA,NA,"Polyschides tetraschistus",-21.608888,-40.655
NA,NA,NA,"Pagrus pagrus",-21.4667,-40.3333
NA,NA,NA,"Thelepus megalabiatum",-21.465555555556,-40.941388888889
NA,NA,NA,"Nototriphora decorata",-21.381755,-40.330711
NA,NA,NA,"Mustelus schmitti",-21.5167,-40.5667
NA,NA,NA,"Pyrunculus caelatus",-21.392694,-40.262038
NA,NA,NA,"Paracalanus aculeatus",-21.3875,-40.7444444444
NA,NA,NA,"Casmaria atlantica",-21.5,-40.3
NA,NA,NA,"Ampelisca moreirai",-21.3844138888889,-40.923375
NA,NA,NA,"Sotalia fluviatilis",-21.616667,-40.950001
NA,NA,NA,"Euterpina acutifrons",-21.38583,-40.74
NA,NA,NA,"Tiburonella viscana",-21.563525,-40.5276472222222
NA,NA,NA,"Ophiothrix (Ophiothrix) angulata",-21.517,-40.3
NA,NA,NA,"Graptacme calamus",-21.608888,-40.655
NA,NA,NA,"Acteon pelecais",-21.381991,-40.258744
NA,NA,NA,"Centropages furcatus",-21.38583,-40.74
NA,NA,NA,"Creseis acicula",-21.517,-40.3
NA,NA,NA,"Aglaophenia laxa",-21.6021,-40.8486
NA,NA,NA,"Pyrunculus caelatus",-21.383102,-40.254305
NA,NA,NA,"Cabirops lobiformis",-21.6179,-41.0169
NA,NA,NA,"Fustiaria liodon",-21.383195,-40.713048
NA,NA,NA,"Cerithiopsis flava",-21.381755,-40.330711
NA,NA,NA,"Suavotrochus lubricus",-21.383102,-40.254305
NA,NA,NA,"Paradentalium infractum",-21.383077,-40.254641
NA,NA,NA,"Mustelus schmitti",-21.5333,-40.7167
NA,NA,NA,"Maurolicus stehmanni",-21.3963,-40.34697
NA,NA,NA,"Astralium latispina",-21.349231,-40.962295
NA,NA,NA,"Natatolana gracilis",-21.5909797222222,-40.6166036111111
NA,NA,NA,"Ampelisca youngi",-21.3831,-40.3284277777778
NA,NA,NA,"Rhizoprionodon lalandii",-21.616188,-41.016581
NA,NA,NA,"Ampelisca brevisimulata",-21.3844027777778,-40.5317833333333
NA,NA,NA,"Nebris microps",-21.616188,-41.016581
NA,NA,NA,"Puelche orensanzi",-21.6045269444444,-40.6166036111111
NA,NA,NA,"Argopecten noronhensis",-21.517,-40.3
NA,NA,NA,"Ophioderma januarii",-21.517,-40.3
NA,NA,NA,"Centropomus parallelus",-21.616188,-41.016581
NA,NA,NA,"Plumularia setacea",-21.6021,-40.8486
NA,NA,NA,"Puelche orensanzi",-21.6090380555556,-40.655235
NA,NA,NA,"Gabrielona sulcifera",-21.381833,-40.330133
NA,NA,NA,"Natatolana gracilis",-21.5729169444444,-40.6166036111111
NA,NA,NA,"Munida forceps",-21.4236833333333,-40.2218333333333
NA,NA,NA,"Atys sandersoni",-21.381991,-40.258744
NA,NA,NA,"Persephona lichtensteinii",-21.311729,-40.958184
NA,NA,NA,"Xiphopenaeus kroyeri",-21.618577,-41.013605
NA,NA,NA,"Onychocorycaeus giesbrechti",-21.3875,-40.7444444444
NA,NA,NA,"Microphoxus uroserratus",-21.586615,-40.5562222222222
NA,NA,NA,"Clausocalanus furcatus",-21.404,-40.23433
NA,NA,NA,"Modulus modulus",-21.381833,-40.330133
NA,NA,NA,"Paracalanus parvus",-21.3875,-40.7444444444
NA,NA,NA,"Paradialychone americana",-21.5691753,-40.4271986
NA,NA,NA,"Gabrielona sulcifera",-21.381755,-40.330711
NA,NA,NA,"Macrochiridothea robusta",-21.6090380555556,-40.5779722222222
NA,NA,NA,"Centropomus parallelus",-21.60016,-41.032775
NA,NA,NA,"Cosmotriphora melanura",-21.517,-40.3
NA,NA,NA,"Callinectes affinis",-21.6166666667,-41.0166666667
NA,NA,NA,"Vinciguerria nimbaria",-21.404,-40.23433
NA,NA,NA,"Syllis variegata",-21.5,-40.3
NA,NA,NA,"Bathygobius soporator",-21.616188,-41.016581
NA,NA,NA,"Suavotrochus lubricus",-21.383077,-40.254641
NA,NA,NA,"Anomalocardia flexuosa",-21.314401,-40.956927
NA,NA,NA,"Paracaprella pusilla",-21.3559944444444,-40.7230055555556
NA,NA,NA,"Tiburonella viscana",-21.5909797222222,-40.6166036111111
NA,NA,NA,"Symphurus tessellatus",-21.38583,-40.74
NA,NA,NA,"Chrysallida nioba",-21.381755,-40.330711
NA,NA,NA,"Ampelisca brevisimulata",-21.6090425,-40.6175694444444
NA,NA,NA,"Peprilus paru",-21.616188,-41.016581
NA,NA,NA,"Ctenogobius boleosoma",-21.616188,-41.016581
NA,NA,NA,"Notarius grandicassis",-21.616188,-41.016581
NA,NA,NA,"Emarginula tuberculosa",-21.381991,-40.258744
NA,NA,NA,"Dolioletta gegenbauri",-21.38583,-40.74
NA,NA,NA,"Leptogorgia violacea",-21.58833333,-40.52277778
