"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"obis",-80.1348,25.4614,4.9,"Halichoeres poeyi"
"obis",-80.9704,24.6824667,5.2,"Halichoeres poeyi"
"obis",-80.1529166,25.4440167,4.4,"Halichoeres poeyi"
"obis",-80.7547667,24.7663667,5.9,"Halichoeres poeyi"
"obis",-81.7057167,24.48525,2.9,"Halichoeres poeyi"
"obis",-80.6023333,24.8683,6.3,"Halichoeres poeyi"
"obis",-80.13037,25.41126,6.1,"Halichoeres poeyi"
"obis",-80.1510833,25.44905,4.9,"Halichoeres poeyi"
"obis",-81.2239666,24.599,8.8,"Halichoeres poeyi"
"obis",-81.7078833,24.4849167,2.6,"Halichoeres poeyi"
"obis",-80.5034833,24.9253667,5.2,"Halichoeres poeyi"
"obis",-81.1890833,24.60695,8.2,"Halichoeres poeyi"
"obis",-81.4063,24.5482667,2,"Halichoeres poeyi"
"obis",-80.2834,25.1221667,9.8,"Halichoeres poeyi"
"obis",-81.56355,24.5209333,8.8,"Halichoeres poeyi"
"obis",-81.0377667,24.6978167,4.1,"Halichoeres poeyi"
"obis",-80.9346333,24.6973667,4.9,"Halichoeres poeyi"
"obis",-81.5848333,24.5215667,6.7,"Halichoeres poeyi"
"obis",-81.8760666,24.4595,5.9,"Halichoeres poeyi"
"obis",-80.341233,25.07145,4.6,"Halichoeres poeyi"
"obis",-80.62165,24.84988,2.7,"Halichoeres poeyi"
"obis",-81.4063166,24.55135,3.1,"Halichoeres poeyi"
"obis",-81.8831333,24.4576,5.6,"Halichoeres poeyi"
"obis",-80.5067166,24.9236167,7.2,"Halichoeres poeyi"
"obis",-80.75312,24.765,10.1,"Halichoeres poeyi"
"obis",-80.5020333,24.9367667,5,"Halichoeres poeyi"
"obis",-80.21617,25.22686,6.7,"Halichoeres poeyi"
"obis",-81.8317833,24.4776667,5.6,"Halichoeres poeyi"
"obis",-80.3246832,25.0747667,7.3,"Halichoeres poeyi"
"obis",-80.4167167,25.0135167,3.2,"Halichoeres poeyi"
"obis",-81.8935833,24.4526834,7,"Halichoeres poeyi"
"obis",-80.36955,25.0507167,3,"Halichoeres poeyi"
"obis",-80.7404,24.7785,5,"Halichoeres poeyi"
"obis",-81.4897667,24.54195,6.9,"Halichoeres poeyi"
"obis",-81.87892,24.45702,3.2,"Halichoeres poeyi"
"obis",-80.1214666,25.5064834,4.1,"Halichoeres poeyi"
"obis",-80.1444348,25.4112592,7.2,"Halichoeres poeyi"
"obis",-80.1860832,25.2825,11.3,"Halichoeres poeyi"
"obis",-81.7216333,24.4812833,6.9,"Halichoeres poeyi"
"obis",-80.14306,25.45553,5.7,"Halichoeres poeyi"
"obis",-80.9643333,24.7018333,4.7,"Halichoeres poeyi"
"obis",-82.0020333,24.45655,7,"Halichoeres poeyi"
"obis",-81.7180667,24.4829333,2.9,"Halichoeres poeyi"
"obis",-80.68405,24.81028,8.7,"Halichoeres poeyi"
"obis",-80.4011,25.017117,4.6,"Halichoeres poeyi"
"obis",-80.1803666,25.2975667,9.9,"Halichoeres poeyi"
"obis",-81.5803667,24.5223333,2.3,"Halichoeres poeyi"
"obis",-80.24313,25.20847,2.4,"Halichoeres poeyi"
"obis",-81.7351167,24.47955,9.1,"Halichoeres poeyi"
"obis",-81.6146333,24.5172,7.6,"Halichoeres poeyi"
"obis",-80.26737,25.14134,4.8,"Halichoeres poeyi"
"obis",-80.1202999,25.4662834,9.6,"Halichoeres poeyi"
"obis",-80.36114,25.0576,3,"Halichoeres poeyi"
"obis",-81.2128,24.5984,8.1,"Halichoeres poeyi"
"obis",-80.43475,24.99055,6.6,"Halichoeres poeyi"
"obis",-82.812,24.66267,8.4,"Halichoeres poeyi"
"obis",-80.7560167,24.7645,6.6,"Halichoeres poeyi"
"obis",-81.0111333,24.66345,4.4,"Halichoeres poeyi"
"obis",-80.3738,25.01152,3,"Halichoeres poeyi"
"obis",-83.0636333,24.6069167,14.2,"Halichoeres poeyi"
"obis",-80.2594333,25.1501,6.7,"Halichoeres poeyi"
"obis",-82.833517,24.636333,7.8,"Halichoeres poeyi"
"obis",-80.28373,25.13306,8.5,"Halichoeres poeyi"
"obis",-80.10912,25.52869,7,"Halichoeres poeyi"
"obis",-80.7569333,24.7635333,7.6,"Halichoeres poeyi"
"obis",-80.3793999,25.00375,4.7,"Halichoeres poeyi"
"obis",-81.7081333,24.4862,2.7,"Halichoeres poeyi"
"obis",-80.9704,24.6824667,5.3,"Halichoeres poeyi"
"obis",-80.3263,25.0804333,5.2,"Halichoeres poeyi"
"obis",-81.8422167,24.4802667,6.1,"Halichoeres poeyi"
"obis",-80.2457167,25.1674333,13,"Halichoeres poeyi"
"obis",-82.88297,24.5919,10.7,"Halichoeres poeyi"
"obis",-80.33931,25.07224,4.6,"Halichoeres poeyi"
"obis",-81.8362333,24.4640333,6.6,"Halichoeres poeyi"
"obis",-80.26035,25.1458833,2.3,"Halichoeres poeyi"
"obis",-81.8438333,24.46285,2.1,"Halichoeres poeyi"
"obis",-83.05215,24.6456167,13.6,"Halichoeres poeyi"
"obis",-82.83918,24.64297,7.3,"Halichoeres poeyi"
"obis",-80.3729166,25.0167667,5.8,"Halichoeres poeyi"
"obis",-80.96718,24.68547,3.5,"Halichoeres poeyi"
"obis",-80.50185,24.93671,5.4,"Halichoeres poeyi"
"obis",-83.0757333,24.6452833,16.2,"Halichoeres poeyi"
"obis",-80.2323832,25.20725,6.3,"Halichoeres poeyi"
"obis",-82.84103,24.63534,10.1,"Halichoeres poeyi"
"obis",-80.3334833,25.0927,3.8,"Halichoeres poeyi"
"obis",-80.1417,25.4674,4.8,"Halichoeres poeyi"
"obis",-80.3240833,25.0752833,5.9,"Halichoeres poeyi"
"obis",-80.1056499,25.55305,5.9,"Halichoeres poeyi"
"obis",-81.5809,24.5226833,3.4,"Halichoeres poeyi"
"obis",-81.40984,24.54737,3.2,"Halichoeres poeyi"
"obis",-81.23035,24.5972,7.5,"Halichoeres poeyi"
"obis",-80.5333833,24.9163,4.4,"Halichoeres poeyi"
"obis",-81.9163,24.4564,7.3,"Halichoeres poeyi"
"obis",-80.221217,25.224133,5.8,"Halichoeres poeyi"
"obis",-80.12605,25.45819,10.1,"Halichoeres poeyi"
"obis",-81.8618333,24.45725,6.6,"Halichoeres poeyi"
"obis",-80.7565,24.7655,5.9,"Halichoeres poeyi"
"obis",-83.05272,24.61837,13.4,"Halichoeres poeyi"
"obis",-80.9007333,24.7035167,6.7,"Halichoeres poeyi"
"obis",-82.9685167,24.6139333,14.2,"Halichoeres poeyi"
"obis",-80.26619,25.14217,5.2,"Halichoeres poeyi"
"obis",-81.0741,24.66645,3.5,"Halichoeres poeyi"
"obis",-80.9707333,24.6833833,5,"Halichoeres poeyi"
"obis",-80.25762,25.14357,5.6,"Halichoeres poeyi"
"obis",-81.8119,24.4682833,5.6,"Halichoeres poeyi"
"obis",-80.29535,25.13005,5.2,"Halichoeres poeyi"
"obis",-82.90158,24.62318,6.9,"Halichoeres poeyi"
"obis",-80.9567833,24.6986833,6.4,"Halichoeres poeyi"
"obis",-81.7141667,24.4937,7.2,"Halichoeres poeyi"
"obis",-80.2295999,25.1998833,4,"Halichoeres poeyi"
"obis",-80.14907,25.37667,5.8,"Halichoeres poeyi"
"obis",-81.9975333,24.4566,7.3,"Halichoeres poeyi"
"obis",-80.43957,24.9883,5.7,"Halichoeres poeyi"
"obis",-81.7450999,24.4756334,8.1,"Halichoeres poeyi"
"obis",-81.2241167,24.5966,8.1,"Halichoeres poeyi"
"obis",-81.52387,24.52361,6.7,"Halichoeres poeyi"
"obis",-80.2723,25.13285,11,"Halichoeres poeyi"
"obis",-65.03442,18.35738,8,"Halichoeres poeyi"
"obis",-80.2129833,25.2340333,7.8,"Halichoeres poeyi"
"obis",-81.71415,24.4836167,2.7,"Halichoeres poeyi"
"obis",-81.8461833,24.4579167,9.6,"Halichoeres poeyi"
"obis",-80.9659,24.686,3.4,"Halichoeres poeyi"
"obis",-80.27558,25.17639,2.4,"Halichoeres poeyi"
"obis",-80.6227,24.8480167,3.4,"Halichoeres poeyi"
"obis",-80.0996332,25.51505,15.1,"Halichoeres poeyi"
"obis",-81.1886667,24.6186167,7.9,"Halichoeres poeyi"
"obis",-82.9544,24.618917,7.1,"Halichoeres poeyi"
"obis",-80.9087,24.70025,7.9,"Halichoeres poeyi"
"obis",-80.9644,24.6852,5.3,"Halichoeres poeyi"
"obis",-80.1269,25.4236,NA,"Halichoeres poeyi"
"obis",-81.4423,24.5786667,7,"Halichoeres poeyi"
"obis",-80.52962,24.91115,4,"Halichoeres poeyi"
"obis",-81.0717999,24.6426167,5.5,"Halichoeres poeyi"
"obis",-80.7802667,24.75305,7.6,"Halichoeres poeyi"
"obis",-83.08224,24.6496,16.9,"Halichoeres poeyi"
"obis",-80.26914,25.15505,5.8,"Halichoeres poeyi"
"obis",-81.76501,24.47448,4.6,"Halichoeres poeyi"
"obis",-81.9753999,24.4507333,7.8,"Halichoeres poeyi"
"obis",-80.9348,24.6968167,4.3,"Halichoeres poeyi"
"obis",-80.9446666,24.6958,4.7,"Halichoeres poeyi"
"obis",-80.33343,25.06071,5.4,"Halichoeres poeyi"
"obis",-80.1265667,25.4842667,7.3,"Halichoeres poeyi"
"obis",-82.82614,24.62694,6.7,"Halichoeres poeyi"
"obis",-80.56579,24.89941,5.3,"Halichoeres poeyi"
"obis",-80.31185,25.08664,8.8,"Halichoeres poeyi"
"obis",-81.7026333,24.4854667,6.1,"Halichoeres poeyi"
"obis",-81.56285,24.5559333,5.5,"Halichoeres poeyi"
"obis",-80.6272499,24.8449334,7.5,"Halichoeres poeyi"
"obis",-80.37277,25.01447,4,"Halichoeres poeyi"
"obis",-80.33379,25.06092,4.6,"Halichoeres poeyi"
"obis",-82.0023833,24.457,7.3,"Halichoeres poeyi"
"obis",-80.12988,25.41107,5.1,"Halichoeres poeyi"
"obis",-80.53879,24.91244,6.4,"Halichoeres poeyi"
"obis",-80.3707667,25.0148333,7.5,"Halichoeres poeyi"
"obis",-82.89665,24.6194,7.6,"Halichoeres poeyi"
"obis",-80.3669333,25.0191333,5.2,"Halichoeres poeyi"
"obis",-81.8339999,24.4724333,6.6,"Halichoeres poeyi"
"obis",-81.62765,24.50284,3.7,"Halichoeres poeyi"
"obis",-81.69893,24.51618,8.7,"Halichoeres poeyi"
"obis",-81.0205,24.6542333,4.4,"Halichoeres poeyi"
"obis",-80.53461,24.91039,4.9,"Halichoeres poeyi"
"obis",-81.7182833,24.4826167,2.4,"Halichoeres poeyi"
"obis",-80.2942167,25.1245333,9,"Halichoeres poeyi"
"obis",-80.4564833,24.9422167,3.2,"Halichoeres poeyi"
"obis",-64.93438,18.37425,7,"Halichoeres poeyi"
"obis",-81.0980667,24.6271,13.9,"Halichoeres poeyi"
"obis",-80.4528333,24.9870501,4.3,"Halichoeres poeyi"
"obis",-81.8337499,24.4798667,7.2,"Halichoeres poeyi"
"obis",-81.40601,24.55066,2,"Halichoeres poeyi"
"obis",-81.7029833,24.4846167,5.8,"Halichoeres poeyi"
"obis",-80.58759,24.86732,8.7,"Halichoeres poeyi"
"obis",-81.8181999,24.4706,7.8,"Halichoeres poeyi"
"obis",-81.71792,24.48275,2.1,"Halichoeres poeyi"
"obis",-80.44339,24.99266,4,"Halichoeres poeyi"
"obis",-80.6849167,24.8182667,5.2,"Halichoeres poeyi"
"obis",-80.22963,25.22904,2.7,"Halichoeres poeyi"
"obis",-83.0547667,24.6369333,13.7,"Halichoeres poeyi"
"obis",-80.9706833,24.6833,5,"Halichoeres poeyi"
"obis",-80.2398333,25.21575,3.1,"Halichoeres poeyi"
"obis",-80.2938999,25.1074167,9.2,"Halichoeres poeyi"
"obis",-80.3530833,25.0384333,3.4,"Halichoeres poeyi"
"obis",-80.62265,24.84935,2.7,"Halichoeres poeyi"
"obis",-81.7233167,24.4832667,6.1,"Halichoeres poeyi"
"obis",-80.12325,25.7495,4.9,"Halichoeres poeyi"
"obis",-80.31018,25.11233,3.1,"Halichoeres poeyi"
"obis",-80.37186,25.02227,4.1,"Halichoeres poeyi"
"obis",-83.04856,24.65472,16,"Halichoeres poeyi"
"obis",-80.32405,25.07768,6.4,"Halichoeres poeyi"
"obis",-80.53033,24.91075,5.5,"Halichoeres poeyi"
"obis",-81.0377333,24.6561667,6.6,"Halichoeres poeyi"
"obis",-81.83295,24.4760667,5.6,"Halichoeres poeyi"
"obis",-81.8576833,24.45425,5.8,"Halichoeres poeyi"
"obis",-81.84518,24.46192,1.5,"Halichoeres poeyi"
"obis",-82.9103333,24.5908167,11.3,"Halichoeres poeyi"
"obis",-81.6509667,24.4994333,5.8,"Halichoeres poeyi"
"obis",-82.80971,24.66958,3.7,"Halichoeres poeyi"
"obis",-81.37936,24.55724,5.2,"Halichoeres poeyi"
"obis",-82.83155,24.6425333,8.1,"Halichoeres poeyi"
"obis",-81.8344166,24.4760833,5.8,"Halichoeres poeyi"
"obis",-80.1427666,25.4928334,4.7,"Halichoeres poeyi"
"obis",-81.50896,24.5589,5.8,"Halichoeres poeyi"
"obis",-80.43172,24.99245,5,"Halichoeres poeyi"
